HillmanAxioms	ImpliesShefferAxioms	3/3	Failed	31.2
McCuneAxioms	EqualityOfInverses	1/1	Failed	30.96
MeredithAxioms	ImpliesShefferAxioms	3/3	Failed	31.08
RobbinsAxioms	DoubleNegation	1/1	Failed	30.72
ShefferAxioms	AndAssociativity	1/1	Failed	31.11
ShefferAxioms	ImpliesHillmanAxioms	3/3	Failed	27.97
ShefferAxioms	ImpliesMeredithAxioms	1/2	Failed	31.1
ShefferAxioms	ImpliesWolframAlternateAxioms	1/1	PROVED	0.19
ShefferAxioms	ImpliesWolframAxioms	1/1	PROVED	0.19
ShefferAxioms	OrAssociativity	1/1	Failed	26.51
WolframAlternateAxioms	AndAssociativity	1/1	Failed	31.03
WolframAlternateAxioms	ImpliesHillmanAxioms	3/3	Failed	31.38
WolframAlternateAxioms	ImpliesMeredithAxioms	1/2	Failed	31.05
WolframAlternateAxioms	ImpliesShefferAxioms	3/3	Failed	31.07
WolframAlternateAxioms	OrAssociativity	1/1	Failed	31.12
WolframAxioms	AndAssociativity	1/1	Failed	31.06
WolframAxioms	ImpliesHillmanAxioms	1	CRASH	-
WolframAxioms	ImpliesHillmanAxioms	3/3	Failed	31.47
WolframAxioms	ImpliesMeredithAxioms	1/2	Failed	31.44
WolframAxioms	ImpliesMeredithAxioms	2	CRASH	-
WolframAxioms	ImpliesShefferAxioms	3/3	Failed	31.23
