HillmanAxioms	ImpliesShefferAxioms	3/3	Failed	31.44
McCuneAxioms	EqualityOfInverses	1/1	Failed	30.63
MeredithAxioms	ImpliesShefferAxioms	3/3	Failed	32.25
RobbinsAxioms	DoubleNegation	1/1	Failed	31.35
ShefferAxioms	AndAssociativity	1/1	Failed	30.76
ShefferAxioms	ImpliesHillmanAxioms	3/3	Failed	30.64
ShefferAxioms	ImpliesMeredithAxioms	1/2	Failed	30.85
ShefferAxioms	ImpliesWolframAlternateAxioms	1/1	Failed	30.94
ShefferAxioms	ImpliesWolframAxioms	1/1	Failed	31.07
ShefferAxioms	OrAssociativity	1/1	Failed	30.96
WolframAlternateAxioms	AndAssociativity	1/1	Failed	30.98
WolframAlternateAxioms	ImpliesHillmanAxioms	3/3	Failed	30.94
WolframAlternateAxioms	ImpliesMeredithAxioms	1/2	Failed	30.57
WolframAlternateAxioms	ImpliesShefferAxioms	3/3	Failed	31.01
WolframAlternateAxioms	OrAssociativity	1/1	Failed	30.5
WolframAxioms	AndAssociativity	1/1	Failed	30.9
WolframAxioms	ImpliesHillmanAxioms	1/3	PROVED	4.46
WolframAxioms	ImpliesHillmanAxioms	3/3	Failed	30.89
WolframAxioms	ImpliesMeredithAxioms	1/2	Failed	31.96
WolframAxioms	ImpliesMeredithAxioms	2/2	PROVED	4.42
WolframAxioms	ImpliesShefferAxioms	3/3	Failed	31.
WolframAxioms	ImpliesWolframAlternateAxioms	1/1	PROVED	4.6
WolframAxioms	ImpliesWolframCommutativeAxioms	1/2	PROVED	4.49
WolframAxioms	OrAssociativity	1/1	Failed	30.53
